idno,ipcrtiva,impricha,ipeqopta,ipshabta,impsafea,impdiffa,ipfrulea,ipudrsta,ipmodsta,ipgdtima,impfreea,iphlppla,ipsucesa,ipstrgva,ipadvnta,ipbhprpa,iprspota,iplylfra,impenva,imptrada,impfuna
53877,4,4,2,6,2,4,1,4,2,4,1,3,6,1,6,1,6,1,2,2,6
53892,2,4,1,3,2,2,4,2,3,1,1,1,2,3,2,2,2,1,2,3,1
53922,2,5,2,2,2,2,4,2,1,3,3,3,4,2,2,2,2,2,4,3,2
53933,4,4,2,2,2,4,2,2,4,3,2,2,2,2,5,2,1,1,1,1,4
53938,4,4,2,2,2,3,3,3,3,3,2,88,3,2,4,3,3,1,2,1,3
53948,1,5,1,5,1,3,6,1,1,1,1,1,4,1,6,1,1,1,3,1,3
53957,3,4,1,1,1,3,1,1,3,3,1,1,1,1,2,1,1,1,1,1,2
53971,6,6,2,1,1,3,1,2,1,1,2,1,6,1,6,1,1,2,1,3,6
53989,2,4,2,2,3,1,2,3,3,3,1,3,2,1,4,2,2,2,1,3,3
54005,4,5,1,3,1,4,88,1,4,1,1,2,4,1,5,4,2,1,2,3,1
54007,4,4,2,2,1,3,3,3,4,3,3,3,3,1,4,3,3,1,2,3,3
54024,1,4,4,1,2,3,4,1,5,2,1,1,3,1,4,2,1,1,4,4,1
54027,3,6,2,3,2,4,2,2,2,3,3,1,5,1,6,1,3,1,1,2,3
54029,5,5,1,4,1,5,3,2,4,2,1,2,4,1,6,2,3,2,2,1,4
54030,1,1,1,1,3,1,6,2,6,1,1,1,2,1,1,6,1,2,1,2,1
54035,3,5,2,3,1,5,2,3,3,5,2,1,3,1,6,2,1,1,2,4,4
54054,3,3,1,1,1,3,2,2,3,2,2,2,1,2,4,2,2,1,1,2,2
54060,1,1,1,1,1,2,5,2,3,1,1,1,1,2,1,2,1,1,2,2,1
54081,2,3,2,4,2,4,3,3,2,3,2,2,4,2,4,1,1,1,1,1,3
54136,2,3,1,2,1,4,5,2,3,1,1,2,2,3,5,2,2,2,2,2,3
54159,3,4,2,3,2,4,2,3,3,3,2,3,4,3,3,2,2,2,2,2,2
54171,2,4,1,3,4,1,4,1,4,3,1,1,3,3,2,3,2,1,2,4,3
54172,3,4,1,1,1,4,1,1,3,4,1,1,3,1,4,1,1,1,1,1,3
54175,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2
54185,3,4,1,2,1,3,2,2,2,1,1,1,3,1,4,1,1,1,1,1,1
54206,2,3,2,1,1,2,3,3,4,2,2,3,2,1,3,4,2,1,2,4,2
54236,4,4,1,2,1,2,1,1,1,3,2,2,3,1,5,1,1,2,1,2,1
54257,3,2,2,2,1,3,2,2,4,3,2,3,2,1,4,3,2,2,2,4,3
54260,1,4,2,1,1,4,4,2,4,1,1,2,2,1,3,1,1,1,1,6,2
54308,3,6,1,5,1,5,2,3,1,3,3,88,5,2,6,2,2,1,2,1,3
54342,2,2,2,2,2,2,4,2,5,2,2,1,1,1,1,1,4,1,1,2,1
54344,2,4,2,6,1,1,3,1,2,1,1,1,4,2,3,1,2,1,1,1,1
54364,2,3,2,1,3,3,2,2,2,3,1,2,2,1,3,1,1,2,2,1,3
54389,4,4,5,4,1,5,3,5,4,2,2,3,3,3,5,2,4,2,3,1,3
54394,3,4,3,3,3,3,3,2,3,3,2,2,3,3,4,3,3,2,3,3,4
54439,1,6,1,1,3,1,5,2,1,3,4,1,3,3,5,6,1,1,1,6,3
54458,4,4,2,3,2,4,2,2,2,2,2,3,4,2,5,2,2,1,3,2,3
54499,3,4,1,4,1,4,1,1,1,3,2,1,4,1,5,1,1,1,1,1,4
54515,3,3,4,2,3,3,5,2,5,3,1,5,2,5,5,5,2,3,4,5,4
54554,2,5,2,4,2,2,5,2,3,2,2,2,3,2,3,2,3,1,2,3,2
54557,3,4,3,3,3,2,4,4,4,3,1,3,4,4,2,4,2,2,3,1,2
54571,1,1,4,2,2,1,3,2,3,3,2,2,2,2,2,2,2,1,1,1,3
54578,5,3,2,2,1,3,1,3,3,3,2,3,2,1,4,1,2,1,1,3,3
54588,2,3,2,2,1,3,3,1,3,3,1,2,2,1,4,3,2,1,2,3,3
54675,3,5,1,2,1,5,3,2,2,3,2,2,3,1,5,2,2,2,2,2,3
54687,2,3,2,3,2,3,3,2,1,2,3,3,3,2,4,2,4,2,2,2,2
54697,4,5,1,4,2,5,5,2,1,2,1,1,4,2,6,1,3,1,2,2,4
54730,4,4,2,88,1,5,88,3,88,88,2,88,88,2,88,88,88,88,2,1,4
54735,3,4,3,3,3,4,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3
54739,5,4,2,4,2,3,3,3,5,2,1,2,3,2,5,3,3,2,1,3,1
54744,2,3,1,3,2,3,3,2,4,3,1,2,2,2,4,2,2,2,1,3,3
54796,3,5,1,5,2,6,3,3,1,5,1,2,4,2,6,2,3,2,2,2,4
54801,3,5,1,3,2,4,3,2,2,3,1,1,3,2,5,2,3,1,1,3,3
54837,3,4,2,3,2,3,3,2,4,1,2,3,3,1,4,4,5,1,3,3,1
54871,2,5,1,2,1,3,5,2,4,1,1,1,1,1,3,3,3,1,1,4,1
54886,2,3,4,1,1,2,1,1,1,2,3,3,5,2,1,1,4,2,4,3,3
54929,2,2,2,5,4,3,2,1,4,2,3,2,2,2,4,3,5,3,2,4,2
54930,4,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,2,2,2,3,3
54936,1,4,1,2,2,2,3,1,3,3,1,1,2,2,4,4,3,1,1,4,2
54937,3,2,1,1,1,2,2,3,3,2,2,3,2,1,3,3,2,1,2,1,2
54957,2,3,4,4,4,4,4,4,4,4,4,2,5,4,3,5,5,3,4,4,3
54962,1,2,2,1,2,2,2,2,2,2,2,3,2,1,3,2,2,1,2,2,2
55001,5,5,3,3,2,5,1,4,2,4,3,4,4,2,5,1,2,3,3,2,5
55024,1,6,3,1,1,1,1,3,2,4,2,1,2,1,1,2,2,1,1,2,1
55040,2,4,2,4,1,3,2,2,1,3,2,2,4,2,5,2,3,1,1,1,3
55046,3,5,2,2,1,4,3,2,3,4,3,3,5,1,6,2,2,3,2,4,3
55057,1,6,1,2,2,1,5,1,1,1,1,1,2,3,2,2,2,1,1,1,1
